,Description,UseType
674,REPLACEMENT OF WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS MUST COMPLY TO CODES.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DPETS.  TO MEET ALL APPLICABLE CODES.,Residential
675,ALTERARTIONS TO EXISTING 7TH FLOOR OF COMMERCIAL BUILDING TO BE USED FOR OFFICE SPACE. MAINTAIN EXITS DURING CONSTRUCTION. MAINTAIN SPRINKLER COVERAGE. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. STAMPED COPY OF PLANS MUST BE KEPT ON JOB SITE AT ALL TIMES. TO MEET ALL APPLICABLE CODES,Commercial
676,"TO INSTALL (2) 4’x16’ WALL SIGNS. ILLUMINATED WITH UL LISTED LED CABINET (MET #E212498); 128 TOTAL SQUARE FEET, SIGN TO BE LISTED BY NATINALLY RECOGNIZED TESTING LABS “NRTL”. ALL APPLICABLE DEPARTMENT INSPECTON AS REQUIRED; TO MEET ALL APPLICABLE CODES.",Commercial
677,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
678,"GRADING PERMIT TO ERECT A 29'4"" X 68'4"" ONE STORY BRICK VENEER SINGLE FAMILY RESIDNECE WITH 1879 SF TOTAL, 1424 SF LIVING AREA, 396SF GARAGE OTHER 59 SF. PROPERTY IS NOT IN A PRIORITY CONSTRUCTION SITE. MUST COMPLY WITH CITY'S GUIDELINES. TO MEET ALL APPLICABLE CODES.",Residential
679,CERTIFICATE OF OCCUPANCY FOR A BUSINESS LIC TO BE USED FOR AN OFFICE.  POINT OF CONTACT KELLEY MALTBY 334-549-2369.,Commercial
680,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
681,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
682,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
683,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
684,CERTIFICATE OF OCCUPANCY FOR A BUSINESS LICENSE TO BE USED AN AUTOMOTIVE REPAIR & PERFORMANCE SHOP.  MATT MITCHELL  531-0458,Commercial
685,FIRE DAMAGE REPAIRS TO INTERIOR EXISTING SINGLE FAMILY DWELLING. BEDROOM WINDOWS TO COMPLY WITH ALL APPLICABLE CODES. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Residential
686,REPLACEMENT OF WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS MUST COMPLY TO CODE.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.,Residential
687,REPLACEMENT OF WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS MUST COMPLY TO CODE.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.,Residential
688,"ERECT A FREE STANDING MONUMENT SIGN WITH THE LETTERS ""DRIVE UP"".  ONE SIGN WITH 4 FACES.  THE SIGN SIZE IS 1.54 SF (ON EACH SIDE) TOTAL 6.16 SF WITH A HEIGHT OF 3.08'.  BEACON SIGN WITH POLE SIZE 12'.  FOOTING SIZE IS 1'-6"" X 5'-6"" DEEP AND IT IS ILLUMINATED. FOOTING INSPECTION WILL BE REQUIRED. TO MEET ALL APPLICABLE CODES.",Commercial
689,"INSPECT FOR CERTIFICATE OF OCCUPANCY; BEE SMART TUTORIAL & CHILDCARE DEV CTR (EXISTING BLDG-NEW BUS), PATRICIA DEAN (334)303-2627",Commercial
690,"ERECT A NEW 2,532 SQ FT COMMERCIAL BUILDING TO BE USED FOR A POPEYE'S RESTAURANT. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. STAMPED COPY OF PLANS AND REVIEW LETTER MUST BE KEPT ON JOB SITE AT ALL TIMES. POST CONSTRUCTION CERT OF COMPLIANCE WITH STATE ENERGY CODE TO BE PROVIDED BY DESIGN PROFESSIONAL PRIOR TO POWER RELEASE. TO MEET ALL APPLICABLE CODES.",Commercial
691,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
692,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
693,INSTALL GUTTERS.,Residential
694,INSTALL GUTTERS.,Residential
695,REPLACEMENT OF WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS MUST COMPLY TO CODES.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DPETS.  TO MEET ALL APPLICABLE CODES.,Residential
696,REPAIRS TO AN EXISTING 1700 SQ FT HOME THAT WAS DAMAGED DUE TO FIRE. ALL INSPECTIONS BY ALL APPLICABLE DEPARTMENTS.  TO MEET ALL APPLICABLE CODES.,Residential
697,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
698,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
699,"GENERAL REPAIRS TO EXISTING DWELLING DUE TO FIRE DAMAGE. FRAMING, FINAL, ELECTRICAL INSPECTIONS WILL BE REQUIRED. ALL CHARD WOOD WILL HAVE TO BE REPLACED. TO MEET ALL APPLICABLE CODES.",Residential
700,ALTERATIONS/RENOVATIONS TO EXISTING COMMERCIAL BUILDING. TO COMPLETE TENANT BUILDOUT. STAMPED COPY OF PLANS AND REVIEW LETTER MUST BE KEPTED ON JOB SITE AT ALL TIMES. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. SHALL MEET ALL APPLICABLE CODES.,Commercial
701,CERTIFIATE OF OCCUPANCY FOR A BUSINESS LIC TO BE USED FOR A BAKERY.  POINT OF CONTACT FEDELIA COLEMEN 334-294-8398.,Commercial
702,REPLACEMENT OF WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS MUST COMPLY TO CODES.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DPETS.  TO MEET ALL APPLICABLE CODES.,Residential
703,ALTERATIONS/RENOVATIONS TO EXISTING COMMERCIAL BUILDING. TO COMPLETE TENANT BUILDOUT. STAMPED COPY OF PLANS AND REVIEW LETTER MUST BE KEPTED ON JOB SITE AT ALL TIMES. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. SHALL MEET ALL APPLICABLE CODES.,Commercial
704,ALTERATIONS TO EXISTING SINGLE FAMILY DWELLING BATHROOM. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Residential
705,GRADING PERMIT TO ERECT A 58.9’X 51.01’ TWO STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 1841 SF (LIVING AREA-1ST FL); 1230 SF (LIVING AREA-2ND FL); 625 SF (GARAGE); 161 SF (OTHER). PROPERTY IS NOT IN A PRIORITY SITE. MUST COMPLY WITH CITY GUIDE LNES. TO MEET ALL APPLICABLE CODES.,Residential
706,CERTIFICATE OF OCCUPANCY FOR A BUSINESS LICENSE TO BE USED AN AUTOMOTIVE REPAIR & PERFORMANCE SHOP.  MATT MITCHELL  531-0458,Commercial
707,REPAIRS TO AN EXISTING 1700 SQ FT HOME THAT WAS DAMAGED DUE TO FIRE. ALL INSPECTIONS BY ALL APPLICABLE DEPARTMENTS.  TO MEET ALL APPLICABLE CODES.,Residential
708,ERECT A 65.12’X 35.6’ TWO STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 1350.7 SF (LIVING AREA-1ST FL); 1295.5 SF (LIVING AREA-2ND FL); 464 SF (GARAGE); 139 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (4 BR/3 BATH/1 HALF BATH),Residential
709,"ERECT A 26'X48' ONE STORY BRICK VENEER SINGLE FAMILY DWELLING WITH A TOTAL SQ FT OF 1328 WITH LIVING AREA 1328, AND OTHER 163 SQ FT.  SMOKE DETECTORS, BEDROOM WINDOWS, AND PRE-FAB FIRE PLACE MUST COMPLY TO CODE. SAN FACILITY REQUIRED. MUST COMPLY WITH ALL STATE ENERGY CODES. ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPT. TO MEET ALL APPLICABLE CODES.",Residential
710,"GENERAL REPAIRS TO EXISTING DWELLING DUE TO FIRE DAMAGE. FRAMING, FINAL, ELECTRICAL INSPECTIONS WILL BE REQUIRED. ALL CHARD WOOD WILL HAVE TO BE REPLACED. TO MEET ALL APPLICABLE CODES.",Residential
711,ALTERATIONS TO INSTALL ADDITIONAL EQUIPMENT FOR AN EXISTING CNG FUELING STATION. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. STAMPED COPY OF PLANS AND REVIEW LETTER MUST BE KEPT ON JOB SITE AT ALL TIMES. TO MEET ALL APPLICABLE CODES.,Commercial
712,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
713,ADDITION TO EXISTING COMMERCIAL BUILDING (NORTH LOADING DOCK ADDITION). ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Commercial
714,REPLACEMENT OF WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS MUST COMPLY TO CODE.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.,Residential
715,DEMOLISH EXISTING DWELLING TO CLEAR LOT.  HEALTH DEPT APPROVAL ON FILE.  WATER WORKS NO.189741 ON FILE. BOND 427720 ON FILE. ASBESTOS 10 DAY NOTICE OK PER BRANDON HODGE.  FINAL INSPECTION WILL BE REQUIRED BY BUILDING DEPT.  MUST COMPLY WITH EROSION CONTROL GUIDELINES.  TO MEET ALL APPLICABLE CODES.,Residential
716,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
717,ALTERATIONS TO EXISTING SINGLE FAMILY DWELLING BATHROOM. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Residential
718,REMOVING EXISTING DAMAGED ROOF DECKING AND REPLACING WITH NEW. REPAIRING EXISITNG FASCIA WHERE APPLICABLE. INSTALL NEW ASPHALT SHINGLE. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Residential
719,"ERECT A 2,532 NEW COMMERCIAL BUILDING TO BE USED FOR A POPEYE'S RESTAURANT. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. STAMPED COPY OF PLANS AND REVIEW LETTER MUST BE KEPT ON JOB SITE AT ALL TIMES. MUST COMPLY WITH STATE ENERGY CODE. TO MEET ALL APPLICABLE CODES.",Commercial
720,ALTERATIONS TO EXTERIOR OF COMMERCIAL BUILDING FOR SITE LIGHTING. MAINTAIN EXITS DURING CONSTRUCTION. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Commercial
721,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
722,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
723,REMOVING EXISTING DAMAGED ROOF DECKING AND REPLACING WITH NEW. REPAIRING EXISITNG FASCIA WHERE APPLICABLE. INSTALL NEW ASPHALT SHINGLE. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Residential
724,"ERECT A 29'9"" X 68'4"" ONE STORY BRICK VENEER SINGLE FAMILY RESIDNECE WITH 1879 SF TOTAL, 1424 SF LIVING AREA, 396 SF GARAGE, OTHER 59 SF. PRE-FAB FIREPLACE PER CODES. BEDROOM WINDOWS, SMOKE DETECTORS PER CODES. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. TO MEET ALL APPLICABLE CODES.  (3BR/2BATHS)",Residential
725,ALTERATIONS TO INSTALL ADDITIONAL EQUIPMENT FOR AN EXISTING CNG FUELING STATION. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. STAMPED COPY OF PLANS AND REVIEW LETTER MUST BE KEPT ON JOB SITE AT ALL TIMES. TO MEET ALL APPLICABLE CODES.,Commercial
726,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
727,"ERECT A FREE STANDING MONUMENT SIGN WITH THE LETTERS ""DRIVE UP"".  ONE SIGN WITH 4 FACES.  THE SIGN SIZE IS 1.54 SF (ON EACH SIDE) TOTAL 6.16 SF WITH A HEIGHT OF 3.08'.  BEACON SIGN WITH POLE SIZE 12'.  FOOTING SIZE IS 1'-6"" X 5'-6"" DEEP AND IT IS ILLUMINATED. FOOTING INSPECTION WILL BE REQUIRED. TO MEET ALL APPLICABLE CODES.",Commercial
728,REMOVE AND REPLACE ROOF FRAMING DUE TO FIRE DAMAGE; REPAIR ELECTRICAL AND PLUMBING; PARTY WALLS. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Commercial
729,INSPECT FOR CERTIFICATE OF OCCUPANCY; CHILD CARE AND OUTREACH CTR; VANESSA BALL (334)354-8181,Commercial
730,ERECT A 58.9’X 51.01’ TWO STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 1841 SF (LIVING AREA-1ST FL); 1230 SF (LIVING AREA-2ND FL); 625 SF (GARAGE); 161 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (5 BR/3 BATH/1 HALF BATH),Residential
731,"INSTALL LOGO WALL SIGN 4'X4', 5-1/4""X5'1/4"", 5-1/4""X5'-1/4"", LOGO PYLON 4'X4'. ILLUMINATED. SIGN TO BE LISTED BY NATIONALLY RECOGNIZED TESTING LABS ""NRTL"". TO MEET ALL APPLICABLE CODES.",Commercial
732,INSPECT FOR CERTIFICATE OF OCCUPANCY; CHILD CARE AND OUTREACH CTR; VANESSA BALL (334)354-8181,Commercial
733,"ERECT A 26'X48' ONE STORY BRICK VENEER SINGLE FAMILY DWELLING WITH A TOTAL SQ FT OF 1328 WITH LIVING AREA 1328, AND OTHER 163 SQ FT.  SMOKE DETECTORS, BEDROOM WINDOWS, AND PRE-FAB FIRE PLACE MUST COMPLY TO CODE. SAN FACILITY REQUIRED. MUST COMPLY WITH ALL STATE ENERGY CODES. ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPT. TO MEET ALL APPLICABLE CODES.",Residential
734,"ERECT A NEW 2,532 SQ FT COMMERCIAL BUILDING TO BE USED FOR A POPEYE'S RESTAURANT. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. STAMPED COPY OF PLANS AND REVIEW LETTER MUST BE KEPT ON JOB SITE AT ALL TIMES. POST CONSTRUCTION CERT OF COMPLIANCE WITH STATE ENERGY CODE TO BE PROVIDED BY DESIGN PROFESSIONAL PRIOR TO POWER RELEASE. TO MEET ALL APPLICABLE CODES.",Commercial
735,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
736,"REPLACE WALL SIGN (4'-4 5/8""X15'2""). WIND LOAD 145. 5.40 SF TOTAL. 4'4 5/8"". ILLUMINATED. SIGN TO BE LISTED BY NATIONALLY RECOGNIZED TESTING LABS ""NRTL"". TO MEET ALL APPLICABLE CODES.",Commercial
737,ALTERATIONS TO INSTALL ADDITIONAL EQUIPMENT FOR AN EXISTING CNG FUELING STATION. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. STAMPED COPY OF PLANS AND REVIEW LETTER MUST BE KEPT ON JOB SITE AT ALL TIMES. TO MEET ALL APPLICABLE CODES.,Commercial
738,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
739,"ERECT A FREE STANDING MONUMENT SIGN WITH THE LETTERS ""DRIVE UP"".  ONE SIGN WITH 4 FACES.  THE SIGN SIZE IS 1.54 SF (ON EACH SIDE) TOTAL 6.16 SF WITH A HEIGHT OF 3.08'.  BEACON SIGN WITH POLE SIZE 12'.  FOOTING SIZE IS 1'-6"" X 5'-6"" DEEP AND IT IS ILLUMINATED. FOOTING INSPECTION WILL BE REQUIRED. TO MEET ALL APPLICABLE CODES.",Commercial
740,"INSTALL LOGO WALL SIGN 4'X4', 5-1/4""X5'1/4"", 5-1/4""X5'-1/4"", LOGO PYLON 4'X4'. ILLUMINATED. SIGN TO BE LISTED BY NATIONALLY RECOGNIZED TESTING LABS ""NRTL"". TO MEET ALL APPLICABLE CODES.",Commercial
741,CERTIFICATE OF OCCUPANCY FOR A BUSINESS LICENSE TO BE USED AS A RETAIL HOBBY & GAME SHOP.  JEFFREY MORRIS 334-868-7442,Commercial
742,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
743,REPAIRS TO AN EXISTING 1700 SQ FT HOME THAT WAS DAMAGED DUE TO FIRE. ALL INSPECTIONS BY ALL APPLICABLE DEPARTMENTS.  TO MEET ALL APPLICABLE CODES.,Residential
744,"TO INSTALL (2) 4’x16’ WALL SIGNS. ILLUMINATED WITH UL LISTED LED CABINET (MET #E212498); 128 TOTAL SQUARE FEET, SIGN TO BE LISTED BY NATINALLY RECOGNIZED TESTING LABS “NRTL”. ALL APPLICABLE DEPARTMENT INSPECTON AS REQUIRED; TO MEET ALL APPLICABLE CODES.",Commercial
745,INSPECT FOR CERTIFICATE OF OCCUPANCY; HAND AND OCCUPATIONAL THERAPY CTR (OFFICE SPACE); WILLIAM BRANNEN (334)235-0877,Commercial
746,"GENERAL REPAIRS TO EXISTING DWELLING DUE TO FIRE DAMAGE. FRAMING, FINAL, ELECTRICAL INSPECTIONS WILL BE REQUIRED. ALL CHARD WOOD WILL HAVE TO BE REPLACED. TO MEET ALL APPLICABLE CODES.",Residential
747,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
748,ERECT A 65.12’X 35.6’ TWO STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 1350.7 SF (LIVING AREA-1ST FL); 1295.5 SF (LIVING AREA-2ND FL); 464 SF (GARAGE); 139 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (4 BR/3 BATH/1 HALF BATH),Residential
749,"REPLACE WALL SIGN (4'-4 5/8""X15'2""). WIND LOAD 145. 5.40 SF TOTAL. 4'4 5/8"". ILLUMINATED. SIGN TO BE LISTED BY NATIONALLY RECOGNIZED TESTING LABS ""NRTL"". TO MEET ALL APPLICABLE CODES.",Commercial
750,ALTERATIONS/RENOVATIONS TO EXISTING COMMERCIAL BUILDING. TO COMPLETE TENANT BUILDOUT. STAMPED COPY OF PLANS AND REVIEW LETTER MUST BE KEPTED ON JOB SITE AT ALL TIMES. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. SHALL MEET ALL APPLICABLE CODES.,Commercial
751,INSPECT FOR CERTIFICATE OF OCCUPANCY; HAND AND OCCUPATIONAL THERAPY CTR (OFFICE SPACE); WILLIAM BRANNEN (334)235-0877,Commercial
752,REPLACEMENT OF WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS MUST COMPLY TO CODE.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.,Residential
753,CERTIFIATE OF OCCUPANCY FOR A BUSINESS LIC TO BE USED FOR A BAKERY.  POINT OF CONTACT FEDELIA COLEMEN 334-294-8398.,Commercial
754,"REPLACE WALL SIGN (4'-4 5/8""X15'2""). WIND LOAD 145. 5.40 SF TOTAL. 4'4 5/8"". ILLUMINATED. SIGN TO BE LISTED BY NATIONALLY RECOGNIZED TESTING LABS ""NRTL"". TO MEET ALL APPLICABLE CODES.",Commercial
755,"INSPECT FOR CERTIFICATE OF OCCUPANCY; SUGAR & SPICE LEARNING CTR, BRIAN PLEASANT (334)306-7057. . . PREVIOUS DAYCARE CTR",Commercial
756,ALTERATIONS/RENOVATIONS TO EXISTING COMMERCIAL BUILDING. TO COMPLETE TENANT BUILDOUT. STAMPED COPY OF PLANS AND REVIEW LETTER MUST BE KEPTED ON JOB SITE AT ALL TIMES. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. SHALL MEET ALL APPLICABLE CODES.,Commercial
757,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
758,GRADING PERMIT TO ERECT A NEW COMMERCIAL BUILDING TO BE USED FOR A POPEYE'S RESTAURANT. PROPERTY IS NOT IN A PRORITY CONSTRUCTOIN SITE. MUST COMPLY WITH CITY'S GUIDELINES. TO MEET ALL APPLICABLE CODES.,Commercial
759,"ERECT A 2,532 NEW COMMERCIAL BUILDING TO BE USED FOR A POPEYE'S RESTAURANT. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. STAMPED COPY OF PLANS AND REVIEW LETTER MUST BE KEPT ON JOB SITE AT ALL TIMES. MUST COMPLY WITH STATE ENERGY CODE. TO MEET ALL APPLICABLE CODES.",Commercial
760,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
761,DEMOLISH EXISTING DWELLING TO CLEAR LOT.  HEALTH DEPT APPROVAL ON FILE.  WATER WORKS NO.189741 ON FILE. BOND 427720 ON FILE. ASBESTOS 10 DAY NOTICE OK PER BRANDON HODGE.  FINAL INSPECTION WILL BE REQUIRED BY BUILDING DEPT.  MUST COMPLY WITH EROSION CONTROL GUIDELINES.  TO MEET ALL APPLICABLE CODES.,Residential
762,"ERECT A NEW 2,532 SQ FT COMMERCIAL BUILDING TO BE USED FOR A POPEYE'S RESTAURANT. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. STAMPED COPY OF PLANS AND REVIEW LETTER MUST BE KEPT ON JOB SITE AT ALL TIMES. POST CONSTRUCTION CERT OF COMPLIANCE WITH STATE ENERGY CODE TO BE PROVIDED BY DESIGN PROFESSIONAL PRIOR TO POWER RELEASE. TO MEET ALL APPLICABLE CODES.",Commercial
763,ADDITION TO EXISTING COMMERCIAL BUILDING (NORTH LOADING DOCK ADDITION). ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Commercial
764,"GRADING PERMIT TO ERECT A 26'X48' ONE STORY BRICK VENEER SINGLE FAMILY DWELLING WITH A TOTAL SQ FT OF 1328 WITH LIVING AREA 1328, AND OTHER 163 SQ FT.  CONSTRUCTION IS NOT IN A PRIORITY CONSTRUCTION SITE. PROJECT DOES REQUIRED A DEM NPDES PERMIT. TO MEET ALL APPLICABLE CODES.",Residential
765,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
766,"TO INSTALL (2) 4’x16’ WALL SIGNS. ILLUMINATED WITH UL LISTED LED CABINET (MET #E212498); 128 TOTAL SQUARE FEET, SIGN TO BE LISTED BY NATINALLY RECOGNIZED TESTING LABS “NRTL”. ALL APPLICABLE DEPARTMENT INSPECTON AS REQUIRED; TO MEET ALL APPLICABLE CODES.",Commercial
767,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
768,REMOVE AND REPLACE ROOF FRAMING DUE TO FIRE DAMAGE; REPAIR ELECTRICAL AND PLUMBING; PARTY WALLS. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Commercial
769,"ERECT A 29'9"" X 68'4"" ONE STORY BRICK VENEER SINGLE FAMILY RESIDNECE WITH 1879 SF TOTAL, 1424 SF LIVING AREA, 396 SF GARAGE, OTHER 59 SF. PRE-FAB FIREPLACE PER CODES. BEDROOM WINDOWS, SMOKE DETECTORS PER CODES. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. TO MEET ALL APPLICABLE CODES.  (3BR/2BATHS)",Residential
770,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
771,REPLACEMENT OF WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS MUST COMPLY TO CODE.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.,Residential
772,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
773,"ERECT A 2,532 NEW COMMERCIAL BUILDING TO BE USED FOR A POPEYE'S RESTAURANT. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. STAMPED COPY OF PLANS AND REVIEW LETTER MUST BE KEPT ON JOB SITE AT ALL TIMES. MUST COMPLY WITH STATE ENERGY CODE. TO MEET ALL APPLICABLE CODES.",Commercial
774,GRADING PERMIT TO ERECT A NEW COMMERCIAL BUILDING TO BE USED FOR A POPEYE'S CHICKEN RESTAURANT. PROPERTY IS NOT IN A PRORITY CONSTRUCTOIN SITE. MUST COMPLY WITH CITY'S GUIDELINES. TO MEET ALL APPLICABLE CODES.,Commercial
775,ALTERATIONS TO EXISTING SINGLE FAMILY DWELLING BATHROOM. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Residential
776,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
777,GRADING PERMIT TO ERECT COMMERCIAL APARTMENTS FOR RESIDENTIAL USE. PROPERTY IS NOT IN A PRIORITY CONSTRUCTION SITE. NPDES PERMIT NO. ALR10BCZW. TO MEET ALL APPLICABLE CODES.  **FEES WAIVED**,Commercial
778,FIRE DAMAGE REPAIRS TO INTERIOR EXISTING SINGLE FAMILY DWELLING. BEDROOM WINDOWS TO COMPLY WITH ALL APPLICABLE CODES. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Residential
